iter	RMSE
0	0.1387808944
1	0.1357263845
2	0.132784949
3	0.1299610682
4	0.1272437718
5	0.1246314409
6	0.122117038
7	0.1197048512
8	0.1173797081
9	0.1151615848
10	0.1130316347
11	0.1109878887
12	0.109018551
13	0.1071344395
14	0.1053221353
15	0.1032822207
16	0.101239494
17	0.09933867567
18	0.09746560228
19	0.09566804761
20	0.09393377689
21	0.0922305345
22	0.09057682145
23	0.08904989722
24	0.08753514253
25	0.0861315665
26	0.08477161384
27	0.08346993855
28	0.08219841092
29	0.08097263931
30	0.07983494564
31	0.07854396838
32	0.07721727257
33	0.07593118884
34	0.07474507952
35	0.07354452695
36	0.07239097956
37	0.07133430755
38	0.07026306182
39	0.06929736322
40	0.06834136596
41	0.06747244724
42	0.06659065646
43	0.06572767463
44	0.06489726492
45	0.06418065846
46	0.06342873192
47	0.06271339257
48	0.06203788802
49	0.06138944806
50	0.06074247148
51	0.06021426486
52	0.05963868551
53	0.05908276442
54	0.05854647991
55	0.05805725522
56	0.05761372041
57	0.05712913554
58	0.05668713598
59	0.05629264939
60	0.05588046712
61	0.05547515272
62	0.05512790444
63	0.0548162062
64	0.05450146928
65	0.05419160411
66	0.05387712798
67	0.05356592297
68	0.05332431144
69	0.05306641185
70	0.0528172988
71	0.05257916341
72	0.05233444523
73	0.05210512313
74	0.05190289303
75	0.05164642609
76	0.05136756581
77	0.05112306463
78	0.05083620417
79	0.05059418897
80	0.05035216208
81	0.05009043072
82	0.04987707826
83	0.04964528395
84	0.04948506827
85	0.04926919971
86	0.0490866206
87	0.04890669797
88	0.04873334208
89	0.04857562941
90	0.04842958573
91	0.04825449651
92	0.04810796995
93	0.04797217357
94	0.04782311999
95	0.04767535241
96	0.04753939099
97	0.0474122238
98	0.04730549341
99	0.0472111602
100	0.04712307465
101	0.04701522373
102	0.04692123577
103	0.04682472649
104	0.04672520376
105	0.04663554666
106	0.04653855442
107	0.0464454001
108	0.04637798661
109	0.04629920651
110	0.0462130854
111	0.04612436354
112	0.04605763189
113	0.04599585329
114	0.04592091422
115	0.0458446348
116	0.04577700723
117	0.04570155779
118	0.04564158742
119	0.04554470597
120	0.04549702641
121	0.04543270628
122	0.04537672512
123	0.04531660923
124	0.04525714969
125	0.04520096485
126	0.04515782547
127	0.04510337723
128	0.04507092394
129	0.04502268321
130	0.04498932953
131	0.04492527896
132	0.04488742654
